Feb 20 15:04:14: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): 
Feb 20 15:04:14: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): style.css
Feb 20 15:04:14: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): ocsigen5.png
Feb 20 15:04:14: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): favicon.ico
Feb 20 15:04:17: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): favicon.ico
Feb 20 15:04:23: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): count
Feb 20 15:04:24: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): count
Feb 20 15:04:24: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): count
Feb 20 15:04:24: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): count
Feb 20 15:05:21: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): 
Feb 20 15:05:21: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): style.css
Feb 20 15:05:21: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): ocsigen5.png
Feb 20 15:05:21: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): bulles-bleues.png
Feb 20 15:36:31: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): 
Feb 20 15:36:31: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): style.css
Feb 20 15:36:31: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): ocsigen5.png
Feb 20 15:36:31: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): bulles-bleues.png
Feb 20 15:36:32: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): 
Feb 20 15:36:32: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): style.css
Feb 20 15:36:32: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): ocsigen5.png
Feb 20 15:36:32: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): bulles-bleues.png
Feb 20 15:36:33: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): count
Feb 20 15:36:34: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): count
Feb 20 15:36:34: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): count
Feb 20 15:36:34: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): count
Feb 20 15:36:34: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): count
Feb 20 15:51:04: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): count
Feb 20 15:51:04: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): count
Feb 20 15:51:05: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): count
Feb 20 15:51:05: access: connection for dev1217.snc6.facebook.com from 172.24.130.45 (Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.13) Gecko/20101203 Firefox/3.6.13): count
